original_reference,original_value,original_sheet,status,s4_reference,reason
P3,SJ-3524-SMT,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
Q6,2N7002,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R14,100k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R19,1k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R20,1k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R30,100k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R31,100k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R34,5.1k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R37,100k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R42,7.5k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R45,100k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R46,100k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R47,20k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R48,18k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R49,100k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R50,100k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R51,7.5k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R52,20k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R53,5.1k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R54,18k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R56,20k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
R57,20k,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
SP1,Speaker,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
TP33,LIN,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
TP34,RIN,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
TP114,R-OUT,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
TP115,L-OUT,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
U6,LM4853,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
U7,TLV9364,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
U9,SN74LVC2G34DBVR,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
VR2,RK10J12R0A0B,/CPU/Audio/,moved_to_hdmi,,User-authorized console scope moves sound and volume to the TV; analog handheld audio is removed. Required HDMI audio remains unfinished.
